Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	100	1.51	0.17117	1.51	0.17117	0.00011676
2	100	1.72	0.183347	1.72	0.183347	9.044e-05
4	100	1.31	0.163521	1.31	0.163521	0.00012671
8	100	1.42	0.153088	1.42	0.153088	0.00040608
16	100	1.68	0.185946	1.68	0.185946	0.00099963
32	100	1.84	0.179287	1.84	0.179287	0.00494613
64	100	1.96	0.17258	1.96	0.17258	0.0226044
128	100	3.79	0.216007	3.79	0.216007	0.128691
256	100	4.9	0.194679	4.9	0.194679	0.29353
512	100	5.04	0.183804	5.04	0.183804	0.471742
1024	100	5.12	0.186161	5.12	0.186161	0.865861
