Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	0.079	0.00852989	0.079	0.00852989	6.8598e-05
2	1000	0.08	0.00857904	0.08	0.00857904	7.4336e-05
4	1000	0.081	0.0086278	0.081	0.0086278	9.973e-05
8	1000	0.082	0.00867617	0.082	0.00867617	0.000229368
16	1000	0.091	0.009095	0.091	0.009095	0.000534558
32	1000	0.121	0.010313	0.121	0.010313	0.00255562
64	1000	0.277	0.0141517	0.277	0.0141517	0.0128124
128	1000	0.55	0.0157321	0.55	0.0157321	0.0376491
256	1000	0.715	0.014275	0.715	0.014275	0.0750801
512	1000	0.816	0.0122533	0.816	0.0122533	0.138533
1024	1000	0.829	0.0119063	0.829	0.0119063	0.226283
2048	1000	0.849	0.0113225	0.849	0.0113225	0.386867
4096	1000	0.858	0.0110379	0.858	0.0110379	0.846419
8192	1000	0.843	0.0115044	0.843	0.0115044	1.48235
