Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	1.469	0.0536567	1.469	0.0536567	8.7118e-05
2	1000	1.476	0.0531171	1.476	0.0531171	0.000107361
4	1000	1.392	0.0516172	1.392	0.0516172	0.000128114
8	1000	1.402	0.0509941	1.402	0.0509941	0.000331211
16	1000	1.559	0.0540788	1.559	0.0540788	0.00114305
32	1000	1.651	0.0543801	1.651	0.0543801	0.00472399
64	1000	2.202	0.0585764	2.202	0.0585764	0.0249695
128	1000	3.385	0.0695325	3.385	0.0695325	0.102907
256	1000	4.386	0.0698785	4.386	0.0698785	0.248643
512	1000	4.991	0.061114	4.991	0.061114	0.475823
1024	1000	5.207	0.0555171	5.207	0.0555171	0.853941
2048	1000	5.239	0.0558201	5.239	0.0558201	1.52912
4096	1000	5.244	0.055556	5.244	0.055556	2.89919
8192	642	5.23676	0.0708682	5.23676	0.0708682	5.61222
