Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	0.166	0.0117662	0.166	0.0117662	6.4141e-05
2	1000	0.165	0.0117378	0.165	0.0117378	7.91e-05
4	1000	0.179	0.0121227	0.179	0.0121227	8.3555e-05
8	1000	0.174	0.0119885	0.174	0.0119885	0.000135142
16	1000	0.17	0.0118786	0.17	0.0118786	0.000324042
32	1000	0.181	0.0121753	0.181	0.0121753	0.000968384
64	1000	0.201	0.0126728	0.201	0.0126728	0.00323987
128	1000	0.396	0.0154656	0.396	0.0154656	0.0103793
256	1000	0.616	0.01538	0.616	0.01538	0.0275311
512	1000	0.816	0.0122533	0.816	0.0122533	0.062149
1024	1000	0.915	0.00881901	0.915	0.00881901	0.120451
2048	1000	0.96	0.00619677	0.96	0.00619677	0.218423
4096	1000	0.95	0.00689202	0.95	0.00689202	0.32218
8192	1000	0.949	0.00695694	0.949	0.00695694	0.75289
16384	1000	0.962	0.00604616	0.962	0.00604616	1.23172
