Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	0.146	0.0111662	0.146	0.0111662	0.000156506
2	1000	0.16	0.0115931	0.16	0.0115931	0.000197324
4	1000	0.135	0.0108062	0.135	0.0108062	0.000159853
8	1000	0.204	0.012743	0.204	0.012743	0.000311841
16	1000	0.335	0.0149256	0.335	0.0149256	0.000593752
32	1000	0.517	0.0158022	0.517	0.0158022	0.00120249
64	1000	0.813	0.0123301	0.813	0.0123301	0.00317923
128	1000	0.977	0.00474036	0.977	0.00474036	0.00557492
256	1000	1	0	1	0	0.00850569
512	1000	1	0	1	0	0.0163278
