Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	100	0	0	0	0	0.00050061
2	100	0	0	0	0	0.00048741
4	100	0	0	0	0	0.00052549
8	100	0	0	0	0	0.0005939
16	100	0.01	0.00994987	0.01	0.00994987	0.00130088
32	100	0	0	0	0	0.00228211
64	100	0	0	0	0	0.00527276
128	100	0.01	0.00994987	0.01	0.00994987	0.0224745
256	100	0.01	0.00994987	0.01	0.00994987	0.0864811
512	100	0.11	0.031289	0.11	0.031289	0.334423
1024	100	0.2	0.04	0.2	0.04	1.01747
2048	100	0.25	0.0433013	0.25	0.0433013	1.97386
4096	100	0.42	0.0493559	0.42	0.0493559	3.93102
