Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	-1.13224	0.0445762	-1.13224	0.0445762	0.000221262
2	1000	-1.1226	0.0442785	-1.1226	0.0442785	0.000223244
4	1000	-1.06668	0.0435409	-1.06668	0.0435409	0.000219646
8	1000	-0.95436	0.0457789	-0.95436	0.0457789	0.000551392
16	1000	-0.70896	0.0418542	-0.70896	0.0418542	0.00128507
32	1000	-0.47192	0.0397437	-0.47192	0.0397437	0.00279398
64	1000	-0.03584	0.0331362	-0.03584	0.0331362	0.00616541
128	1000	0.09544	0.030508	0.09544	0.030508	0.0105722
256	1000	0.12664	0.0292574	0.12664	0.0292574	0.0188728
512	1000	0.11568	0.0293372	0.11568	0.0293372	0.038044
1024	1000	0.24164	0.0278817	0.24164	0.0278817	0.0819465
2048	1000	0.23732	0.0279227	0.23732	0.0279227	0.167705
4096	1000	0.23696	0.028012	0.23696	0.028012	0.326156
8192	1000	0.23248	0.0279678	0.23248	0.0279678	0.721289
