Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	100	0.72	0.0970361	0.72	0.0970361	0.00037837
2	100	0.46	0.074054	0.46	0.074054	0.00032361
4	100	0.61	0.100891	0.61	0.100891	0.00037594
8	100	0.68	0.0893085	0.68	0.0893085	0.00084998
16	100	0.65	0.102347	0.65	0.102347	0.00174122
32	100	0.85	0.107121	0.85	0.107121	0.00393763
64	100	1.03	0.118706	1.03	0.118706	0.0123369
128	100	1.7	0.164012	1.7	0.164012	0.0366118
256	100	3.09	0.22095	3.09	0.22095	0.135919
512	100	3.77	0.214874	3.77	0.214874	0.320341
1024	100	4.42	0.218257	4.42	0.218257	0.660594
2048	100	4.42	0.219627	4.42	0.219627	1.56363
4096	100	4.65	0.194615	4.65	0.194615	2.34525
