Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	0.152	0.0113532	0.152	0.0113532	0.00310383
2	1000	0.18	0.0121491	0.18	0.0121491	0.00336176
4	1000	0.165	0.0117378	0.165	0.0117378	0.00364242
8	1000	0.178	0.0120961	0.178	0.0120961	0.00529051
16	1000	0.164	0.0117091	0.164	0.0117091	0.00932576
32	1000	0.155	0.0114444	0.155	0.0114444	0.0276775
64	1000	0.178	0.0120961	0.178	0.0120961	0.0944267
128	1000	0.256	0.0138009	0.256	0.0138009	0.283156
256	1000	0.489	0.0158076	0.489	0.0158076	0.802644
512	1000	0.762	0.0134668	0.762	0.0134668	1.82136
1024	1000	0.902	0.00940191	0.902	0.00940191	3.44501
2048	548	0.956204	0.00874179	0.956204	0.00874179	6.56939
