Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	0.14	0.0109727	0.14	0.0109727	6.9915e-05
2	1000	0.176	0.0120426	0.176	0.0120426	9.1822e-05
4	1000	0.187	0.0123301	0.187	0.0123301	9.436e-05
8	1000	0.166	0.0117662	0.166	0.0117662	0.000198318
16	1000	0.176	0.0120426	0.176	0.0120426	0.000447531
32	1000	0.157	0.0115044	0.157	0.0115044	0.00152381
64	1000	0.192	0.0124554	0.192	0.0124554	0.0057425
128	1000	0.262	0.0139053	0.262	0.0139053	0.0194302
256	1000	0.516	0.0158033	0.516	0.0158033	0.0598991
512	1000	0.75	0.0136931	0.75	0.0136931	0.137525
1024	1000	0.882	0.0102018	0.882	0.0102018	0.263265
2048	1000	0.943	0.00733151	0.943	0.00733151	0.452808
4096	1000	0.972	0.0052169	0.972	0.0052169	0.790555
8192	1000	0.984	0.00396787	0.984	0.00396787	1.55805
16384	1000	0.982	0.00420428	0.982	0.00420428	2.52096
